# Chunk-averaged data for fix fx_den and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 240 2560
  1 -11.95 0 0
  2 -11.85 0 0
  3 -11.75 0 0
  4 -11.65 0 0
  5 -11.55 0 0
  6 -11.45 0 0
  7 -11.35 0 0
  8 -11.25 0 0
  9 -11.15 0 0
  10 -11.05 0 0
  11 -10.95 0 0
  12 -10.85 0 0
  13 -10.75 0 0
  14 -10.65 0 0
  15 -10.55 0 0
  16 -10.45 0 0
  17 -10.35 0 0
  18 -10.25 0 0
  19 -10.15 0 0
  20 -10.05 0 0
  21 -9.95 0 0
  22 -9.85 0 0
  23 -9.75 0.1217 0.00475391
  24 -9.65 4.8621 0.189926
  25 -9.55 24.9717 0.975457
  26 -9.45 40.5349 1.58339
  27 -9.35 36.4425 1.42354
  28 -9.25 21.4887 0.839402
  29 -9.15 12.2015 0.476621
  30 -9.05 8.2566 0.322523
  31 -8.95 6.7759 0.264684
  32 -8.85 7.0869 0.276832
  33 -8.75 9.3485 0.365176
  34 -8.65 13.2654 0.51818
  35 -8.55 17.8817 0.698504
  36 -8.45 20.4479 0.798746
  37 -8.35 18.8096 0.73475
  38 -8.25 16.8195 0.657012
  39 -8.15 13.9943 0.546652
  40 -8.05 11.3801 0.444535
  41 -7.95 10.9412 0.427391
  42 -7.85 11.8437 0.462645
  43 -7.75 12.9302 0.505086
  44 -7.65 13.9206 0.543773
  45 -7.55 15.1298 0.591008
  46 -7.45 15.0627 0.588387
  47 -7.35 14.37 0.561328
  48 -7.25 14.4679 0.565152
  49 -7.15 13.5896 0.530844
  50 -7.05 13.3316 0.520766
  51 -6.95 13.3737 0.52241
  52 -6.85 12.6623 0.494621
  53 -6.75 12.6369 0.493629
  54 -6.65 13.265 0.518164
  55 -6.55 13.0421 0.509457
  56 -6.45 12.9471 0.505746
  57 -6.35 13.1697 0.514441
  58 -6.25 13.3198 0.520305
  59 -6.15 13.3609 0.52191
  60 -6.05 11.5198 0.449992
  61 -5.95 13.0413 0.509426
  62 -5.85 12.8724 0.502828
  63 -5.75 12.7849 0.49941
  64 -5.65 13.0444 0.509547
  65 -5.55 12.3053 0.480676
  66 -5.45 12.8642 0.502508
  67 -5.35 12.5013 0.488332
  68 -5.25 12.7348 0.497453
  69 -5.15 12.5883 0.49173
  70 -5.05 12.368 0.483125
  71 -4.95 11.8593 0.463254
  72 -4.85 12.4716 0.487172
  73 -4.75 12.2702 0.479305
  74 -4.65 12.5325 0.489551
  75 -4.55 12.4669 0.486988
  76 -4.45 11.8706 0.463695
  77 -4.35 12.1899 0.476168
  78 -4.25 12.3939 0.484137
  79 -4.15 12.0318 0.469992
  80 -4.05 11.2141 0.438051
  81 -3.95 11.8313 0.46216
  82 -3.85 11.4391 0.44684
  83 -3.75 11.9905 0.468379
  84 -3.65 11.3983 0.445246
  85 -3.55 12.0318 0.469992
  86 -3.45 11.6809 0.456285
  87 -3.35 11.2779 0.440543
  88 -3.25 11.4102 0.445711
  89 -3.15 12.1476 0.474516
  90 -3.05 12.2528 0.478625
  91 -2.95 11.2233 0.43841
  92 -2.85 11.5591 0.451527
  93 -2.75 11.3574 0.443648
  94 -2.65 10.9821 0.428988
  95 -2.55 10.9242 0.426727
  96 -2.45 11.7297 0.458191
  97 -2.35 11.7878 0.460461
  98 -2.25 12.0922 0.472352
  99 -2.15 11.7911 0.46059
  100 -2.05 11.8929 0.464566
  101 -1.95 11.9316 0.466078
  102 -1.85 11.7242 0.457977
  103 -1.75 11.9798 0.467961
  104 -1.65 11.6184 0.453844
  105 -1.55 11.2779 0.440543
  106 -1.45 12.3429 0.482145
  107 -1.35 12.5615 0.490684
  108 -1.25 12.6351 0.493559
  109 -1.15 12.4328 0.485656
  110 -1.05 12.6093 0.492551
  111 -0.95 12.2887 0.480027
  112 -0.85 12.2703 0.479309
  113 -0.75 11.2584 0.439781
  114 -0.65 11.5959 0.452965
  115 -0.55 11.6716 0.455922
  116 -0.45 11.5853 0.452551
  117 -0.35 11.7107 0.457449
  118 -0.25 12.8757 0.502957
  119 -0.15 12.6301 0.493363
  120 -0.05 12.6241 0.493129
  121 0.05 12.759 0.498398
  122 0.15 11.9204 0.465641
  123 0.25 10.6747 0.41698
  124 0.35 10.9835 0.429043
  125 0.45 11.5325 0.450488
  126 0.55 11.5227 0.450105
  127 0.65 12.1089 0.473004
  128 0.75 12.4981 0.488207
  129 0.85 13.0061 0.508051
  130 0.95 13.0942 0.511492
  131 1.05 12.8434 0.501695
  132 1.15 11.6976 0.456937
  133 1.25 11.5242 0.450164
  134 1.35 11.1237 0.43452
  135 1.45 11.9147 0.465418
  136 1.55 11.437 0.446758
  137 1.65 11.6448 0.454875
  138 1.75 12.7971 0.499887
  139 1.85 12.4734 0.487242
  140 1.95 11.9046 0.465023
  141 2.05 13.0592 0.510125
  142 2.15 12.8009 0.500035
  143 2.25 11.954 0.466953
  144 2.35 12.0493 0.470676
  145 2.45 11.7604 0.459391
  146 2.55 12.4891 0.487855
  147 2.65 12.4712 0.487156
  148 2.75 12.1068 0.472922
  149 2.85 12.0626 0.471195
  150 2.95 11.9849 0.46816
  151 3.05 13.161 0.514102
  152 3.15 13.001 0.507852
  153 3.25 13.0726 0.510648
  154 3.35 12.7052 0.496297
  155 3.45 12.4441 0.486098
  156 3.55 11.9233 0.465754
  157 3.65 11.104 0.43375
  158 3.75 11.7123 0.457512
  159 3.85 12.2922 0.480164
  160 3.95 12.7717 0.498895
  161 4.05 13.3603 0.521887
  162 4.15 13.1253 0.512707
  163 4.25 12.328 0.481563
  164 4.35 11.7965 0.460801
  165 4.45 11.7389 0.458551
  166 4.55 11.4201 0.446098
  167 4.65 11.7838 0.460305
  168 4.75 12.8744 0.502906
  169 4.85 12.5325 0.489551
  170 4.95 12.9076 0.504203
  171 5.05 12.9786 0.506977
  172 5.15 12.9432 0.505594
  173 5.25 12.2553 0.478723
  174 5.35 12.5168 0.488938
  175 5.45 12.3804 0.483609
  176 5.55 11.7508 0.459016
  177 5.65 11.243 0.43918
  178 5.75 11.3378 0.442883
  179 5.85 12.4956 0.488109
  180 5.95 12.5108 0.488703
  181 6.05 12.9035 0.504043
  182 6.15 13.0691 0.510512
  183 6.25 12.9663 0.506496
  184 6.35 12.271 0.479336
  185 6.45 13.119 0.512461
  186 6.55 13.2618 0.518039
