# Chunk-averaged data for fix fx_vel2 and group vy
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz
10000 160 1200
  1 0.05 0 0 0 0
  2 0.15 0 0 0 0
  3 0.25 0 0 0 0
  4 0.35 0 0 0 0
  5 0.45 0 0 0 0
  6 0.55 0 0 0 0
  7 0.65 0 0 0 0
  8 0.75 0 0 0 0
  9 0.85 0 0 0 0
  10 0.95 0 0 0 0
  11 1.05 0 0 0 0
  12 1.15 0 0 0 0
  13 1.25 0 0 0 0
  14 1.35 0.1585 0.114934 0.115465 0.00594738
  15 1.45 24.6742 -0.0179589 -0.0143188 -0.00012874
  16 1.55 112.981 -0.00138394 -0.00375328 -0.000629539
  17 1.65 55.6365 0.00832759 0.0168545 -0.000742943
  18 1.75 6.3251 -0.00463406 0.0159703 -0.00354282
  19 1.85 0.2237 0.316686 0.314482 0.000432047
  20 1.95 0.0011 2.98891 1.10841 -0.0125095
  21 2.05 0.0098 0.677923 0.368916 -0.0143898
  22 2.15 2.801 0.0289928 -0.0143526 0.00637094
  23 2.25 37.6626 -0.0134668 -0.0131653 0.00134816
  24 2.35 94.1996 -0.000130952 0.00830764 0.000724208
  25 2.45 55.4994 0.00602939 0.0045182 -0.000865299
  26 2.55 9.1537 0.0511463 -0.0091139 0.00215986
  27 2.65 0.6371 5.91775e-05 -0.0368252 -0.00346712
  28 2.75 0.0326 -0.393774 -0.204794 -0.0122809
  29 2.85 0.2519 0.101254 -0.0127193 -0.000982189
  30 2.95 4.4245 0.0573756 -0.008602 0.00101935
  31 3.05 37.2901 -0.0251908 -0.00425878 0.000315616
  32 3.15 89.2708 0.00326787 -0.000298373 0.000816639
  33 3.25 57.2344 0.000381354 0.00517089 -0.000281872
  34 3.35 10.8523 0.000512875 0.00456734 -0.00269914
  35 3.45 0.6638 0.0853089 -0.121704 -0.00973086
  36 3.55 0.0164 0.00607118 -0.14481 0.00552487
  37 3.65 0.2522 0.119494 -0.162239 0.000268527
  38 3.75 4.4388 0.0191356 -0.0540299 0.00480644
  39 3.85 36.2574 -0.0226526 -0.0160812 0.00170119
  40 3.95 86.7555 0.000693319 -0.0058353 0.000154314
  41 4.05 60.2293 0.00282606 0.0159016 -5.24041e-05
  42 4.15 11.2936 0.00922795 0.0617813 -0.00301428
  43 4.25 0.7374 0.00679935 -0.0293695 0.00719314
  44 4.35 0.0358 0.362545 -0.566896 -0.00158074
  45 4.45 0.1514 0.0549126 0.0381185 0.0167707
  46 4.55 3.8404 0.0277584 0.00190496 0.00324579
  47 4.65 31.9681 0.00746022 -0.016899 0.000763654
  48 4.75 90.4482 -0.00585326 0.00714379 0.000760514
  49 4.85 63.4885 -0.00421932 0.000652275 -0.00114411
  50 4.95 9.7342 0.0126071 0.00355689 -0.00268579
  51 5.05 0.3692 -0.0982344 -0.200029 -0.00168157
  52 5.15 0 0 0 0
  53 5.25 0.0856 0.332961 -0.143026 0.00339478
  54 5.35 2.0097 0.0600888 -0.0156834 -0.00119506
  55 5.45 26.7024 -0.0344247 0.0401609 0.00150399
  56 5.55 104.708 0.000896788 -0.00350545 -0.000313485
  57 5.65 63.9624 0.00634947 -0.00665938 0.000686194
  58 5.75 2.5318 0.00892976 0.0205507 0.00147818
  59 5.85 0 0 0 0
  60 5.95 0 0 0 0
  61 6.05 0 0 0 0
  62 6.15 0 0 0 0
  63 6.25 0 0 0 0
  64 6.35 0 0 0 0
  65 6.45 0 0 0 0
  66 6.55 0 0 0 0
  67 6.65 0 0 0 0
  68 6.75 0 0 0 0
  69 6.85 0 0 0 0
  70 6.95 0 0 0 0
  71 7.05 0 0 0 0
  72 7.15 0 0 0 0
  73 7.25 0 0 0 0
  74 7.35 0 0 0 0
  75 7.45 0 0 0 0
  76 7.55 0 0 0 0
  77 7.65 0 0 0 0
  78 7.75 0 0 0 0
  79 7.85 0 0 0 0
  80 7.95 0 0 0 0
  81 8.05 0 0 0 0
  82 8.15 0 0 0 0
  83 8.25 0 0 0 0
  84 8.35 0 0 0 0
  85 8.45 0 0 0 0
  86 8.55 0 0 0 0
  87 8.65 0 0 0 0
  88 8.75 0 0 0 0
  89 8.85 0 0 0 0
  90 8.95 0 0 0 0
  91 9.05 0 0 0 0
  92 9.15 0 0 0 0
  93 9.25 0 0 0 0
  94 9.35 0 0 0 0
  95 9.45 0 0 0 0
  96 9.55 0 0 0 0
  97 9.65 0 0 0 0
  98 9.75 0 0 0 0
  99 9.85 0 0 0 0
  100 9.95 0 0 0 0
  101 10.05 0 0 0 0
  102 10.15 0 0 0 0
  103 10.25 0 0 0 0
  104 10.35 0 0 0 0
  105 10.45 0 0 0 0
  106 10.55 0 0 0 0
  107 10.65 0 0 0 0
  108 10.75 0 0 0 0
  109 10.85 0 0 0 0
  110 10.95 0 0 0 0
  111 11.05 0 0 0 0
  112 11.15 0 0 0 0
  113 11.25 0 0 0 0
  114 11.35 0 0 0 0
  115 11.45 0 0 0 0
  116 11.55 0 0 0 0
  117 11.65 0 0 0 0
  118 11.75 0 0 0 0
  119 11.85 0 0 0 0
  120 11.95 0 0 0 0
  121 12.05 0 0 0 0
  122 12.15 0 0 0 0
  123 12.25 0 0 0 0
  124 12.35 0 0 0 0
  125 12.45 0 0 0 0
  126 12.55 0 0 0 0
  127 12.65 0 0 0 0
  128 12.75 0 0 0 0
  129 12.85 0 0 0 0
  130 12.95 0 0 0 0
  131 13.05 0 0 0 0
  132 13.15 0 0 0 0
  133 13.25 0 0 0 0
  134 13.35 0 0 0 0
  135 13.45 0 0 0 0
  136 13.55 0 0 0 0
  137 13.65 0 0 0 0
  138 13.75 0 0 0 0
  139 13.85 0 0 0 0
  140 13.95 0 0 0 0
  141 14.05 0 0 0 0
  142 14.15 0 0 0 0
  143 14.25 0 0 0 0
  144 14.35 0 0 0 0
  145 14.45 0 0 0 0
  146 14.55 0 0 0 0
  147 14.65 0 0 0 0
  148 14.75 0 0 0 0
  149 14.85 0 0 0 0
  150 14.95 0 0 0 0
  151 15.05 0 0 0 0
  152 15.15 0 0 0 0
  153 15.25 0 0 0 0
  154 15.35 0 0 0 0
  155 15.45 0 0 0 0
  156 15.55 0 0 0 0
  157 15.65 0 0 0 0
  158 15.75 0 0 0 0
  159 15.85 0 0 0 0
  160 15.95 0 0 0 0
