# Chunk-averaged data for fix fx_vel1 and group vy
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz
10000 240 2560
  1 -11.95 0 0 0 0
  2 -11.85 0 0 0 0
  3 -11.75 0 0 0 0
  4 -11.65 0 0 0 0
  5 -11.55 0 0 0 0
  6 -11.45 0 0 0 0
  7 -11.35 0 0 0 0
  8 -11.25 0 0 0 0
  9 -11.15 0 0 0 0
  10 -11.05 0 0 0 0
  11 -10.95 0 0 0 0
  12 -10.85 0 0 0 0
  13 -10.75 0 0 0 0
  14 -10.65 0 0 0 0
  15 -10.55 0 0 0 0
  16 -10.45 0 0 0 0
  17 -10.35 0 0 0 0
  18 -10.25 0 0 0 0
  19 -10.15 0 0 0 0
  20 -10.05 0 0 0 0
  21 -9.95 0 0 0 0
  22 -9.85 0.002 -1.26108 -0.586219 0.0105314
  23 -9.75 0.0807 -0.101297 0.024638 -0.00263824
  24 -9.65 6.8434 0.0177228 -0.0012597 -0.000782769
  25 -9.55 33.9635 0.0137773 0.023175 0.0244549
  26 -9.45 46.1629 0.0117766 0.0242766 0.0265361
  27 -9.35 34.821 0.0147564 0.0318811 0.0228822
  28 -9.25 19.5529 0.017427 0.0316139 0.0248185
  29 -9.15 10.9281 -0.02533 0.0331705 0.0294117
  30 -9.05 7.1103 -0.0582388 0.0999667 0.0341666
  31 -8.95 5.3817 -0.0425257 0.103896 0.0285469
  32 -8.85 8.0841 0.0518321 0.0386908 0.0194106
  33 -8.75 11.9959 0.0103947 0.0717874 0.0906026
  34 -8.65 16.4096 0.0397 0.0165879 0.0668183
  35 -8.55 19.2622 -0.0273187 -0.0346338 0.0492062
  36 -8.45 21.7495 -0.0205837 0.00680258 0.0343868
  37 -8.35 19.1494 0.0216796 0.021114 0.0291884
  38 -8.25 14.7301 0.00928292 0.0131979 0.0260671
  39 -8.15 11.8802 -0.00995168 0.0341766 0.0218975
  40 -8.05 11.7399 -0.0724135 0.0107364 0.0392535
  41 -7.95 10.995 -0.047756 0.0138652 0.0877662
  42 -7.85 10.0979 -0.00729104 -0.0330115 0.0894171
  43 -7.75 12.0517 -0.0252508 -0.0102066 0.0640164
  44 -7.65 13.0689 -0.0553991 -0.0630668 0.0519825
  45 -7.55 13.3673 -0.0296762 -0.0196978 0.0405965
  46 -7.45 14.0093 -0.0105225 -0.0187695 0.0305155
  47 -7.35 13.132 -0.00938158 -0.0334893 0.0270994
  48 -7.25 12.6225 -0.00965137 -0.0284261 0.0389115
  49 -7.15 12.1032 0.0317672 -0.0426042 0.0495188
  50 -7.05 11.8563 -0.0459412 -0.0363464 0.0473434
  51 -6.95 11.0321 0.0263471 -0.0278294 0.0453277
  52 -6.85 10.591 -0.00677294 -0.0469114 0.0394774
  53 -6.75 10.8991 -0.0128895 -0.0740967 0.0313474
  54 -6.65 12.1083 0.0159768 -0.0542996 0.0233133
  55 -6.55 11.5965 0.0567356 -0.0434501 0.0197978
  56 -6.45 12.1689 0.0223425 -0.105675 0.0207364
  57 -6.35 11.7866 0.0442155 -0.104997 0.0278027
  58 -6.25 10.6244 0.0705691 -0.110634 0.0281045
  59 -6.15 10.1301 -0.0202463 -0.0521721 0.0227842
  60 -6.05 10.9114 -0.0106399 -0.0467791 0.0172582
  61 -5.95 10.9091 -0.0584583 0.011652 0.0141517
  62 -5.85 10.2843 -0.07798 -0.0417095 0.0104699
  63 -5.75 10.7688 -0.0614719 -0.0559629 0.00367684
  64 -5.65 11.2035 -0.118946 -0.139236 0.003745
  65 -5.55 11.6496 -0.0440534 -0.0749961 0.00531283
  66 -5.45 11.656 -0.0663453 -0.0744399 0.0102433
  67 -5.35 11.1977 -0.0229753 -0.0568892 0.0140494
  68 -5.25 10.9892 -0.0339893 -0.0277293 0.00640129
  69 -5.15 10.7387 -0.00331092 -0.0959707 -0.000801056
  70 -5.05 11.6039 -0.00219653 -0.0848094 -0.00398006
