# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 109.481 3.71166 2.46304 -2.93184 0.180805 -0.279456
50 109.67 4.0308 2.60208 -3.04239 0.175377 -0.510088
100 110.28 3.40943 2.8774 -2.72041 0.137393 -0.316476
150 110.751 3.60876 3.16481 -2.85016 -0.249639 -0.110433
200 109.908 3.25142 3.08343 -2.60199 -0.145345 -0.184632
250 110.7 3.67879 3.09692 -2.77447 -0.302674 0.126155
300 110.731 3.71202 3.05448 -2.58831 -0.270515 0.115093
350 109.64 3.76176 2.76903 -2.65619 -0.0476421 0.149215
400 110.567 4.10837 2.66236 -2.85279 0.0845147 0.214129
450 109.547 4.09515 2.96539 -3.04014 0.198129 -0.0802271
500 109.676 4.04875 2.96619 -3.07261 0.0969737 -0.124426
550 109.754 4.29864 3.01156 -3.03141 0.0946047 -0.130148
600 109.883 4.23992 3.31034 -2.80451 -0.0857703 -0.0269332
650 110.082 3.58689 2.86068 -3.04705 -0.217084 0.155627
700 110.332 3.43681 2.59672 -3.4239 0.130192 0.163453
750 111.062 3.15027 2.29587 -3.42226 0.0982225 0.0735885
800 111.846 3.1643 2.59806 -3.27733 0.46152 -0.252259
850 112.317 3.07903 2.49827 -3.36953 0.510452 -0.217715
900 112.048 2.87946 2.43496 -3.49529 0.273679 0.0795679
950 112.679 3.4611 2.20907 -3.65186 0.22508 0.0334606
1000 112.997 3.92471 2.06114 -3.53097 -0.239491 0.127607
1050 112.542 3.27365 2.73785 -3.22605 -0.0752466 0.0662349
1100 113.001 3.16214 2.94621 -3.37879 0.274373 -0.176102
1150 113.036 3.32376 2.64439 -3.58848 -0.0311373 -0.112927
1200 112.466 3.05025 2.87935 -3.50508 -0.281351 0.0522592
1250 111.806 3.36575 2.78501 -3.54165 -0.149611 -0.0848192
1300 111.064 3.50096 2.92087 -3.40731 0.00647994 -0.270924
1350 110.359 3.31092 2.69551 -3.11541 0.0863107 -0.30062
1400 110.705 3.4297 2.8321 -3.11891 0.313319 -0.44177
1450 110.692 3.8006 2.87669 -2.99952 0.244671 -0.271889
1500 110.396 3.90355 2.72375 -2.99092 0.0952515 -0.0385034
1550 110.482 3.74202 2.61989 -3.00554 0.295141 -0.274991
1600 110.436 3.69261 2.69556 -3.18105 0.119229 -0.122058
1650 109.726 3.74122 2.457 -3.38386 -0.0083451 -0.0172519
1700 109.25 4.02668 2.69224 -3.31735 -0.0148013 -0.140793
1750 109.847 3.73719 2.52643 -3.14313 -0.269017 -0.0152734
1800 110.566 3.45607 2.6871 -2.8057 0.118932 -0.113982
1850 111.829 3.29649 2.50503 -3.07958 0.0437781 0.103038
1900 112.118 3.49256 2.54493 -3.38621 -0.492977 0.243743
1950 111.735 3.6747 2.54855 -3.41473 -0.465686 0.112814
2000 112.629 3.70603 2.71496 -3.02647 -0.235652 -0.119951
2050 112.715 3.9927 2.76339 -2.96637 -0.276818 -0.122109
2100 112.024 3.86161 2.72692 -2.97668 -0.230101 -0.0861313
2150 110.557 3.78208 2.81326 -3.25423 -0.193185 0.006589
2200 110.779 3.90646 2.82462 -3.05576 0.0163886 0.0168588
2250 112.095 3.85876 2.79708 -3.32012 0.170852 0.0371267
2300 113.294 3.90562 2.84265 -3.55595 0.0842882 0.13105
2350 113.897 3.92187 2.75154 -3.31561 0.251732 -0.0461794
2400 112.415 3.67014 2.36937 -3.27327 0.264815 -0.0445934
2450 112.443 3.51722 2.51524 -3.17927 0.124022 -0.163952
2500 112.628 3.5473 2.64956 -3.28009 -0.0312735 -0.0300507
2550 112.37 3.12185 2.28457 -3.24585 -0.0735056 0.0956757
2600 112.263 3.22185 2.52083 -3.32585 -0.151713 -0.0506742
2650 111.147 2.89574 2.58011 -2.88854 -0.263178 0.0545552
2700 111.634 2.67647 2.22007 -2.70058 -0.21297 -0.0637839
2750 111.363 3.12639 2.53571 -3.2661 -0.204187 -0.122325
2800 110.984 2.81682 2.78349 -3.36656 -0.29662 0.0641132
2850 111.78 2.73333 2.85538 -3.14458 -0.122435 -0.00264152
2900 110.171 3.24096 2.46694 -2.98751 -0.0521436 -0.244892
2950 110.267 3.47572 2.56352 -3.24475 -0.0350151 -0.115236
3000 110.566 3.62239 2.42976 -3.51089 -0.175047 -0.0549856
3050 111.385 3.63354 2.51955 -3.51968 -0.290231 -0.0895896
3100 110.991 3.61804 2.91009 -3.31027 -0.28832 0.109335
3150 109.964 3.26951 3.01279 -3.1603 0.00946573 0.213015
