# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.68217 2.07405 2.07019 0.167904 0.260698 0.0113544
50 2.04738 1.92786 1.73527 0.407924 0.193072 0.193533
100 2.12942 1.97173 1.73235 -0.0166973 0.161239 0.331471
150 2.08338 1.67839 1.65793 0.0538693 -0.0251675 -0.062062
200 1.89423 1.97474 1.97629 0.172538 -0.115366 -0.274489
250 1.86732 1.88941 2.36551 -0.0647437 -0.111082 -0.163651
300 1.74996 1.77883 1.78082 -0.145373 0.0843948 -0.063069
350 1.77337 1.63689 1.72275 0.100824 0.00609035 -0.0256795
400 1.85884 1.62503 1.32986 0.0445459 -0.0411282 -0.00696346
450 1.79397 1.48662 1.33684 -0.00748899 -0.0513134 -0.0313434
500 1.82469 1.69579 1.66222 -0.131102 -0.173709 0.291169
550 1.7529 1.79625 1.76275 0.108994 -0.270323 0.0437062
600 1.85718 1.39626 1.46254 0.125465 -0.141544 -0.129221
650 1.66373 1.50819 1.69533 0.246929 0.170081 -0.175738
700 1.5189 1.60756 1.78553 0.0911782 0.032967 -0.363654
750 1.54956 1.63594 1.64745 0.0305515 -0.10999 -0.291941
800 2.01974 1.4924 1.5305 -0.212782 0.0747466 -0.138178
850 1.43362 1.48495 1.63492 -0.0428276 0.0262071 0.120042
900 1.5738 1.64052 1.56493 0.0634663 -0.0187382 0.128098
950 1.5047 1.75308 1.82342 0.0529293 -0.121632 0.215861
1000 1.345 1.87018 2.06866 0.199206 -0.252023 0.272982
1050 1.5078 1.94022 1.98539 0.114608 -0.236591 0.311909
1100 1.61214 1.64894 1.85596 0.0462077 -0.152015 0.195183
1150 1.69153 1.87494 2.0898 -0.0963211 -0.050543 0.378765
1200 1.95047 1.76416 1.91323 -0.0926727 -0.0426688 0.422325
1250 1.57892 1.32823 1.49157 -0.157089 -0.0352565 0.149532
1300 1.40753 1.20605 1.35678 -0.0296578 0.102831 0.0694166
1350 1.56589 1.30973 1.55601 -0.120731 0.0808257 0.154993
1400 1.12344 0.960107 1.54252 -0.137307 -0.00922442 0.169133
1450 1.38338 1.25527 1.53683 -0.0782079 -0.0652373 0.033222
1500 1.29887 1.56352 1.25362 -0.0829767 0.143024 0.0780978
1550 1.59917 1.76362 1.44938 0.0206569 -0.0436633 0.0823839
1600 1.99834 1.89174 1.51324 0.135006 0.018232 0.0676535
1650 1.8691 2.04573 1.28803 -0.158764 0.0413454 0.0406515
1700 1.95597 2.06414 1.93905 -0.117509 -0.0869831 0.0261724
1750 1.85511 1.93954 2.60496 0.0764534 0.202351 0.0145648
1800 1.51371 1.74654 2.15743 -0.0475365 0.211274 0.00236801
