# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.44343 1.28585 1.36554 -0.0863132 0.145835 0.116003
50 1.44292 1.66987 1.25691 0.0541926 0.148079 0.0164816
100 1.53055 1.3373 1.20882 -0.0681924 0.224715 -0.00331208
150 1.88029 1.45135 1.48102 -0.0435808 0.0440055 -0.154828
200 1.70908 1.66362 1.52687 -0.214455 0.190819 0.00586068
250 1.82502 1.7078 1.78771 -0.215818 0.408659 0.221779
300 1.75824 1.37723 1.59265 -0.255036 0.393968 0.280714
350 1.57321 1.43179 1.61771 -0.0541136 0.400394 0.109365
400 1.90779 1.48969 1.9792 0.110353 0.265538 -0.139062
450 1.75945 1.71102 1.73264 0.133028 -0.0242656 -0.0908277
500 1.61782 1.65895 1.76527 0.002038 0.0940981 -0.145091
550 1.43745 1.40946 1.52181 0.0327639 -0.0127418 -0.00862345
600 1.3491 1.11128 1.37617 -0.0208653 0.115543 -0.232385
650 1.45628 1.43025 1.45408 -0.17518 0.0442376 -0.0843071
700 1.0848 1.42988 1.25226 -0.123047 -0.0139163 -0.037468
750 1.02825 1.0698 1.46086 -0.0729633 0.00891158 0.00402266
800 1.27215 1.41727 1.42183 -0.0488394 0.114655 0.112709
850 1.61103 1.49827 1.35103 -0.100039 0.254526 0.130573
900 1.54974 1.31266 1.3478 0.0571913 0.245954 0.0868265
950 1.80436 1.8007 1.93962 -0.121619 0.26638 -0.035632
1000 1.72648 1.90403 1.77859 -0.202013 -0.0605721 -0.152413
1050 1.72493 1.86885 1.80377 -0.121134 -0.14816 -0.139632
1100 1.46607 1.8856 1.88061 -0.0380993 -0.173763 0.0366822
1150 1.40496 1.81472 1.72148 0.129996 0.0188216 -0.0906453
1200 1.23889 1.67816 1.37407 0.333552 0.168699 0.128817
1250 1.54964 1.57059 1.23518 -0.0465738 0.102545 0.0221507
1300 1.32917 1.66063 1.12543 -0.181313 -0.00481773 0.0704675
1350 1.31532 1.26714 1.2775 -0.261452 -0.362728 0.127265
1400 1.35723 1.18776 1.2876 -0.144121 -0.0635075 -0.00766166
1450 1.6805 1.3774 1.40292 -0.142818 -0.173909 -0.170366
1500 1.78282 1.62695 1.56708 -0.0927572 -0.0660426 -0.0391557
1550 1.74249 1.78193 1.82241 -0.0379869 0.0327511 0.17096
1600 1.6065 1.96218 1.85146 -0.357309 0.0322577 0.131484
1650 1.60274 1.61367 1.64945 -0.292438 0.00266585 0.0697107
1700 1.93277 1.79446 1.57482 -0.311814 -0.233082 -0.0343118
1750 1.88396 1.35029 1.5629 -0.180441 0.0808392 0.0297959
1800 1.53069 1.40775 1.2316 -0.106653 -0.00818023 -0.132642
1850 1.324 1.15163 1.12346 -0.0464696 0.00438124 -0.155429
1900 1.15195 1.12662 1.126 -0.0667237 0.0480274 -0.157736
1950 1.2219 1.24082 1.24255 -0.224559 -0.0746247 -0.202954
2000 1.15179 1.40239 1.49256 -0.22788 -0.166558 -0.102669
2050 1.39734 1.22009 1.54183 -0.254373 -0.031896 -0.273259
2100 1.55017 1.56312 1.67048 -0.0684793 0.151691 -0.338618
2150 1.7224 1.53763 1.74275 -0.0258748 0.0842489 -0.266432
2200 1.5723 1.55911 1.37683 0.10711 0.0296501 -0.388553
2250 1.62128 1.45335 1.29112 -0.108206 -0.0634051 -0.297696
2300 1.51024 1.33529 1.55661 -0.301734 -0.108396 -0.15838
2350 1.65252 1.21758 1.28344 -0.3792 -0.203735 -0.0753411
2400 1.4167 1.24572 1.42277 -0.197233 -0.113749 -0.0244395
2450 1.50894 1.23842 1.19022 -0.0594369 -0.022876 -0.0667486
2500 1.61055 1.33893 1.0301 0.193663 -0.0383102 -0.0745578
2550 1.61451 1.49835 1.17083 0.00805549 -0.0768461 0.0649624
2600 1.61157 1.46822 1.37631 -0.145492 -0.134717 0.173665
2650 1.48472 1.17063 1.71537 -0.138901 -0.0341865 0.017242
2700 1.27944 1.20303 1.63888 -0.021672 -0.0481756 -0.168634
2750 1.5278 1.6921 1.45878 -0.187585 -0.050258 -0.272457
2800 1.43802 1.40968 1.52118 -0.261786 -0.0117836 -0.23497
2850 1.14363 1.08393 1.25699 -0.123557 0.104308 0.120422
2900 1.21395 1.38118 1.63508 -0.0679061 -0.00758868 -0.019626
