# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 28.312 2.14477 2.39805 -1.75951 0.0234698 -0.19289
50 28.4171 2.02354 1.95627 -1.78891 0.113572 -0.258885
100 28.1406 2.09436 1.84127 -1.72278 -0.164098 0.129233
150 27.8462 1.93224 1.77647 -1.84046 -0.27204 0.104909
200 28.1194 2.33103 2.05222 -2.03498 -0.167399 0.0104412
250 28.0951 2.4479 2.17514 -1.94295 -0.0360657 0.0726988
300 28.1687 2.01608 2.07058 -1.94653 0.177582 0.216394
350 28.5114 2.16809 2.00743 -2.02551 0.00819219 -0.077579
400 28.1421 2.27098 1.81992 -1.82566 0.231346 -0.146352
450 28.2094 2.26534 1.722 -1.76543 0.407095 -0.120467
500 28.3927 2.67506 1.9321 -1.64648 0.235142 0.197065
550 28.4635 2.13813 1.91401 -1.40781 0.316855 -0.0256701
600 28.4605 2.37124 1.64657 -1.44692 0.106646 -0.110652
650 28.6582 2.25057 1.67958 -1.56815 -0.101772 0.0367799
700 28.7273 2.12463 1.62675 -1.77972 -0.225271 0.182094
750 29.2305 2.51175 1.82442 -1.99105 -0.229625 0.345016
800 29.1753 2.27577 1.98451 -1.8681 -0.267595 -0.0216992
850 29.197 2.42458 2.21317 -1.81722 -0.188055 -0.121033
900 28.9488 2.2323 1.95081 -1.72883 0.166498 -0.228007
950 28.9222 2.49494 1.83925 -1.82966 0.254666 -0.224683
1000 29.4652 2.17189 1.78387 -1.91212 0.0477138 -0.212141
1050 28.9525 2.07034 1.59912 -1.83674 0.00978525 -0.207072
1100 29.086 2.12357 1.86939 -1.94733 0.0052413 -0.325636
1150 29.1507 2.02947 1.84126 -1.93392 0.0806931 -0.125723
1200 29.0779 2.47527 1.76319 -1.98093 -0.0779876 -0.029528
1250 29.3195 2.6345 1.48347 -1.8451 -0.271092 0.196388
1300 29.379 2.56066 1.81461 -1.94904 -0.160565 0.326117
1350 29.3051 2.31891 2.02523 -1.97678 -0.0672863 0.149854
1400 29.4068 2.14709 2.1374 -2.11897 0.0805372 0.326268
1450 29.808 2.29337 1.985 -1.99237 -0.0181393 0.479007
1500 29.4826 2.12888 1.80907 -1.84889 -0.174993 0.30617
1550 29.154 2.17701 2.10115 -1.88701 -0.00301264 0.0959175
1600 28.9101 1.91653 2.03078 -1.77163 -0.00546505 0.0519008
1650 28.6939 2.13235 2.0413 -1.73688 0.216163 -0.207162
1700 28.4179 2.50789 2.06204 -1.71962 0.266526 -0.174708
1750 28.261 2.57308 1.73506 -1.73835 0.139984 -0.135797
