# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 132.493 4.81322 2.54622 -2.99177 0.399965 -0.0280684
50 132.689 3.9778 2.54184 -3.06645 0.320744 -0.205761
100 130.636 3.98667 2.566 -3.43384 0.076053 0.0613374
150 130.909 3.95307 2.92062 -3.39674 0.108182 0.0602202
200 131.093 3.48013 3.06228 -3.28028 0.207345 -0.348483
250 131.282 3.21706 2.77409 -3.24649 0.0765299 -0.101485
300 132.29 3.02196 2.54315 -3.1058 0.0199617 -0.108726
350 133.3 2.96084 2.63376 -2.9455 -0.169251 -0.294346
400 134.58 3.17367 2.3076 -3.50743 0.0583582 -0.251457
450 134.269 3.33672 2.32301 -3.70792 -0.106654 -0.115996
500 134.469 3.67545 2.20844 -4.00743 -0.0138374 -0.273523
550 135.053 4.01412 2.6968 -4.00995 -0.0532867 0.0681571
600 133.825 4.17238 3.1055 -3.65614 0.209074 -0.230824
650 132.743 4.05254 2.73934 -3.52019 0.11906 -0.00563704
700 131.064 4.07762 2.71717 -3.29488 0.156554 -0.208505
750 131.443 3.96963 3.11952 -3.41246 0.171634 -0.250182
800 131.012 3.84958 3.02426 -3.80374 0.243179 0.102304
850 131.888 3.5454 2.51609 -3.63462 0.124646 0.0871877
900 132.229 3.34017 2.67476 -3.31532 0.182104 0.252378
950 131.204 3.34403 2.49173 -3.26466 0.166619 0.301621
1000 131.923 3.46265 2.65659 -2.99567 -0.0625888 0.0948419
1050 131.681 3.63887 2.57054 -3.24085 0.120957 0.0704323
1100 132.406 3.94661 2.9478 -3.64543 0.141012 0.0231894
1150 133.837 4.55298 3.16433 -3.95174 -0.118305 0.0677893
1200 134.723 4.34408 3.1922 -3.58113 -0.0871875 -0.085046
1250 134.062 4.50061 3.22025 -3.75193 -0.350279 -0.0705813
1300 134.342 4.51743 3.0163 -3.49876 0.137728 -0.16523
1350 135.178 3.87105 2.73033 -3.44402 0.404824 -0.11911
1400 135.004 3.75712 2.83751 -3.53406 0.119436 -0.12326
1450 135.521 3.92124 2.6226 -3.23058 -0.174555 -0.0878837
1500 133.064 3.42422 2.39557 -2.86376 -0.367691 -0.142756
1550 133.358 3.70958 2.25319 -3.22524 -0.445438 -0.0824486
1600 132.488 3.80995 2.48837 -3.67703 -0.289278 -0.340943
1650 131.776 3.91962 2.97953 -3.81742 -0.155402 -0.191321
1700 131.089 3.67031 2.9666 -3.54204 0.285126 0.178289
